ITEM1,ITEM2,RATIO
Гайка А2 нерж М8 DIN 982,Гайка шестигранная самоконтрящаяся высокая M8 А2 нержавеющая DIN 982,0.8

Гайка А4 нерж М5 DIN 934,Гайка М5 А4-80 DIN 934 / ГОСТ 5915-70,0.67

Гайка барашковая DIN 315 M8_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка барашковая М8 DIN 315,0.8
Гайка барашковая DIN 315 M8_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка барашковая М8 Zn DIN315_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Гайка барашковая DIN 315 M8_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка барашковая М8 оцинкованная DIN 315 / ГОСТ 3032-76,0.67

Гайка барашковая М4 DIN 315,Гайка барашковая М4 оцинкованная DIN 315,0.8

Гайка М10 DIN 934,Гайка М10 DIN 934_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Гайка М10 DIN 934,Гайка оцинкованная М10 DIN 934,0.8
Гайка М10 DIN 934,Гайка шестигранная M10 DIN 934,0.8

Гайка М10 DIN 934 А4 нержавеющая,Гайка шестигранная М10 А4-70-Нерж. DIN 934_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Гайка М10 DIN 934 А4 нержавеющая,Гайка шестигранная М10 А4-80 DIN 934 / ГОСТ 5915-70,0.67

Гайка М10 А2 нерж. DIN 934,Гайка шестигранная М10 А2 DIN 934 / ISO 4032 / ГОСТ 5915-70,0.57

Гайка М10 А4-70 DIN 982 ГОСТ Р 50273-92,Гайка шестигранная самоконтрящаяся высокая M10 А4-80 нержавеющая DIN 982,0.67

Гайка М10 оцинков (5 шт) din 934_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка оцинк. М10 DIN 934(5шт)_НЕ_ИСПОЛЬЗУЕТСЯ,0.83

Гайка М12 DIN 934 А4 нержавеющая,Гайка шестигранная М12 А4 DIN 934,0.8
Гайка М12 DIN 934 А4 нержавеющая,Гайка шестигранная М12 А4-80 DIN 934 / ГОСТ 5915-70,0.67

Гайка М12 А2-нерж. DIN 934,Гайка шестигранная М12 А2 DIN 934 / ISO 4032 / ГОСТ 5915-70,0.57

Гайка М18 DIN 934 цинк_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка оцинкованная М18 DIN 934,0.8
Гайка М18 DIN 934 цинк_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка шестигранная M18 DIN 934,0.8

Гайка М20 ГОСТ 5915-70_НЕ_ИСПОЛЬЗУЕТСЯ,Гайка шестигранная М20 Zn DIN 934 / ГОСТ 5915-70,0.67

Гайка М5 А2 нерж. DIN 934,Гайка М5 А2 нержавеющая DIN 934,0.8

Гайка М6 DIN 934 А4 нержавеющая,Гайка шестигранная М6 нержавеющая сталь А4 DIN 934,0.8
Гайка М6 DIN 934 А4 нержавеющая,Гайка М6 А4 DIN 934 / ГОСТ 5915-70,0.67
Гайка М6 DIN 934 А4 нержавеющая,Гайка М6 А4-80 нерж DIN 934 / ISO 4032 / ГОСТ 5915-70,0.57

Гайка М6 А2 DIN 934 / ISO 4032 / ГОСТ 5915-70,Гайка М6 А2 нержавеющая DIN 934,0.57

Гайка М8 А2 нерж DIN 985 ISO 10511,Гайка шестигранная самоконтрящаяся с нейлоновой вставкой M8 А2 нержавеющая DIN 985,0.57

Гайка М8 А2 нержавеющая DIN 934,Гайка шестигранная M8 нержавеющая сталь А2 DIN 934,0.8
Гайка М8 А2 нержавеющая DIN 934,Гайка шестигранная М8 А2-80 нержавеющая DIN934 / ISO 4032,0.67
Гайка М8 А2 нержавеющая DIN 934,Гайка шестигранная М8 А2 нерж DIN 934 / ISO 4032 / ГОСТ 5915-70,0.57

Гайка М8 А4 DIN 934 ISO 4032 ГОСТ 5915-70,Гайка шестигранная М8 А4-80 нержавеющая DIN 934 / ГОСТ 5915-70,0.71
Гайка М8 А4 DIN 934 ISO 4032 ГОСТ 5915-70,Гайка шестигранная М8 А4 нержавеющая DIN 934,0.57

Гайка оцинкованная М20 DIN 934,Гайка шестигранная М20 DIN 934,0.8
Гайка оцинкованная М20 DIN 934,Гайка шестигранная М20 Zn DIN 934 / ГОСТ 5915-70,0.67

Гайка оцинкованная М4 DIN 934,Гайка шестигранная M4 DIN 934,0.8

Гайка оцинкованная М8 DIN 934,Гайка шестигранная M8 DIN 934,0.8
Гайка оцинкованная М8 DIN 934,Гайка шестигранная М8 оцинкованная DIN 934,0.8

Гайка шестигранная M10 8.0 оцинкованная DIN 934,Гайка шестигранная М10 8.0 оцинкованная DIN 934 / ISO 4032,0.83
Гайка шестигранная M10 8.0 оцинкованная DIN 934,Гайка шестигранная М10 8.0 цинк DIN 934 / ГОСТ 5915-70,0.83

Гайка шестигранная M3 8.0 оцинкованная DIN 934,Гайка шестигранная M3 8.0 оцинкованная DIN 934 / ISO 4032,0.83

Гайка шестигранная M4 А2-Нерж DIN 934,Гайка шестигранная М4 А2 нержавеющая DIN 934 / ISO 4032,0.67

Гайка шестигранная M8 8.0 оцинкованная DIN 934,Гайка шестигранная М8 8.0 Zn DIN 934 / ISO 4032 / ГОСТ 5915-70,0.71

Гайка шестигранная М16 8.0 Zn DIN 934 / ISO 4032 / ГОСТ 5915-70,Гайка шестигранная М16 8.0 цинк DIN 934,0.71

Гайка шестигранная М3 А4 нерж DIN 934 ГОСТ 5915-70,Гайка шестигранная М3 нержавеющая сталь А4 DIN 934_НЕ_ИСПОЛЬЗУЕТСЯ,0.67

Гайка шестигранная самоконтрящаяся с нейлоновой вставкой M12 А4 нержавеющая DIN 985,Гайка шестигранная самоконтрящаяся с нейлоновой вставкой М12 А4-80-Нерж DIN 985 / ISO 10511,0.71

Рым-болт 8мм DIN580_НЕ_ИСПОЛЬЗУЕТСЯ,Рым-болт Госкреп М8 DIN 580 арт. КР.070411,0.71

Рым-болт DIN580-10Е_НЕ_ИСПОЛЬЗУЕТСЯ,Рым-болт М10 DIN 580,0.83

Шайба 10 А2 нерж. DIN 125A,Шайба плоская М10 А2 DIN 125 / ISO 7089 / ГОСТ 11371-78,0.57

Шайба 10 А2 нерж. DIN 127B,Шайба гроверная М10 А2 DIN 127 В,0.8
Шайба 10 А2 нерж. DIN 127B,Шайба гроверная пружинная М10 нержавеющая А2 DIN 127,0.8

Шайба 12 DIN 125A,Шайба D12 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 12 DIN 125A,Шайба оцинкованная 12 DIN 125A,0.8
Шайба 12 DIN 125A,Шайба плоская М12 DIN 125 A,0.8
Шайба 12 DIN 125A,Шайба плоская М12 оцинкованная DIN 125_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 12 DIN 125A,Шайба плоская М12 Zn DIN 125 A / ГОСТ 11371-78,0.67

Шайба 12 А2 нерж. DIN 127B,Шайба гроверная М12 А2 DIN 127,0.8
Шайба 12 А2 нерж. DIN 127B,Шайба гроверная М12 А2 DIN 127 В,0.8

Шайба 12 Нерж.А4 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М12 А4 DIN 125 A / ГОСТ 11371-78,0.67

Шайба 14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба D14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба DIN125 М14_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 14 DIN 125A,0.8
Шайба 14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М14 DIN 125 A,0.8
Шайба 14 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М14 Zn DIN 125 A / ГОСТ 11371-78,0.67

Шайба 4 нерж А2 DIN 125A,Шайба нерж А2 4 DIN 125,0.8
Шайба 4 нерж А2 DIN 125A,Шайба нерж А2 4 DIN 125A,0.8
Шайба 4 нерж А2 DIN 125A,Шайба плоская М4 А2 нержавеющая DIN 125 A,0.8
Шайба 4 нерж А2 DIN 125A,Шайба плоская М4 нержавеющая сталь А2 DIN 125 ISO 7089,0.67

Шайба 4 Нерж.А4 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М4 А4 DIN 125 / ГОСТ 11371-78,0.67

Шайба 5 DIN 125A,Шайба оцинкованная 5 DIN 125A,0.8
Шайба 5 DIN 125A,Шайба плоская М5 DIN 125 A,0.8
Шайба 5 DIN 125A,Шайба плоская М5 тип А DIN 125,0.8

Шайба 5 А2 нерж. DIN 125A,Шайба нерж А2 5 DIN 125,0.8
Шайба 5 А2 нерж. DIN 125A,Шайба нерж А2 5 DIN 125A,0.8
Шайба 5 А2 нерж. DIN 125A,Шайба плоская М5 нержавеющая сталь А2 DIN 125 ISO 7089,0.67

Шайба 5 А2 нерж. DIN 127B,Шайба гроверная пружинная М5 нержавеющая сталь А2 DIN 127,0.8
Шайба 5 А2 нерж. DIN 127B,Шайба нерж А2 5 DIN 127B,0.8

Шайба 6 DIN 125A,Шайба оцинкованная 6 DIN 125A,0.8
Шайба 6 DIN 125A,Шайба плоская М6 оцинкованная DIN 125,0.8

Шайба 6 А2 нерж. DIN 125A,Шайба плоская М6 нержавеющая сталь А2 DIN 125 ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ,0.67
Шайба 6 А2 нерж. DIN 125A,Шайба плоская М6 А2 DIN 125 / ISO 7089 / ГОСТ 11371-78,0.57

Шайба 6 А2 нерж. DIN 127B,Шайба гроверная пружинная М6 нержавеющая А2 DIN 127 В,0.8
Шайба 6 А2 нерж. DIN 127B,Шайба М6 А2 DIN 127 / ГОСТ 6402-70,0.67

Шайба 6 Нерж.А4 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М6 нерж А4 DIN 125A,0.8
Шайба 6 Нерж.А4 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М6 А4 DIN 125 / ISO 7089 / ГОСТ 11371-78,0.57
Шайба 6 Нерж.А4 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М6 А4-80 DIN 125 / ISO 7089 / ГОСТ 11371-78,0.57

Шайба 8 DIN 125 полиамид,Шайба М8 DIN125 (полиамид)_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 8 DIN 125 полиамид,Шайба плоская М8 полиамидная DIN 125 A,0.8

Шайба 8 DIN 125A,Шайба DIN125 D8_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба 8 DIN 125A,Шайба оцинкованная 8 DIN 125A,0.8
Шайба 8 DIN 125A,Шайба плоская М8 DIN 125,0.8
Шайба 8 DIN 125A,Шайба плоская М8 Zn DIN 125 A,0.8
Шайба 8 DIN 125A,Шайба плоская М8 Zn DIN 125 ГОСТ 11371-78,0.67

Шайба 8 А2 нерж. DIN 125A,Шайба нерж А2 8 DIN 125,0.8
Шайба 8 А2 нерж. DIN 125A,Шайба плоская М8 А2 нерж DIN 125 / ISO 7089 / ГОСТ 11371-78,0.57

Шайба 8 А2 нерж. DIN 127B,Шайба DIN127 М8 A2,0.8
Шайба 8 А2 нерж. DIN 127B,Шайба М8 А2 DIN 127 B,0.8

Шайба 8 нерж. А4 DIN125A,"Шайба М8 простая (нерж.) А4, DIN125_НЕ_ИСПОЛЬЗУЕТСЯ",0.8
Шайба 8 нерж. А4 DIN125A,Шайба плоская М8 А4 DIN 125 A / ГОСТ 11371-78,0.67

Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба DIN125 М16_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 16 DIN 125A,0.8
Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская DIN 125 М16 цинк_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М 16 оцинкованная DIN 125,0.8
Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М16 DIN 125,0.8
Шайба D16 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М16 Zn DIN 125 A / ГОСТ 11371-78,0.67

Шайба D20 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 20 DIN 125A,0.8
Шайба D20 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М 20 цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба D20 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М20 DIN 125 A,0.8
Шайба D20 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М20 Zn DIN 125 / ГОСТ 11371-78,0.67

Шайба D24 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 24 DIN 125A,0.8
Шайба D24 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М 24 цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба D24 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М24 DIN 125 A,0.8
Шайба D24 DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М24 Zn DIN 125 / ГОСТ 11371-78,0.67

Шайба DIN125 30_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М30 DIN 125 A,0.8

Шайба DIN125 М10_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 10 DIN 125A,0.8
Шайба DIN125 М10_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М10 DIN 125 A,0.8
Шайба DIN125 М10_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М10 Zn DIN 125,0.8

Шайба DIN125 М3 zn_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная М3 DIN 125A,0.8
Шайба DIN125 М3 zn_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М3 DIN 125 A,0.8

Шайба DIN125_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская DIN 125 A/ISO 7089,0.6

Шайба DIN127 М10,Шайба гроверная пружинная М10 DIN 127,0.8
Шайба DIN127 М10,Шайба оцинкованная 10 DIN 127B,0.8
Шайба DIN127 М10,Шайба гроверная М10 Zn DIN 127 B / ГОСТ 6402-70,0.67

Шайба DIN127 М12,Шайба оцинкованная 12 DIN 127B,0.8
Шайба DIN127 М12,Шайба гроверная М12 Zn DIN 127 ГОСТ 6402-70,0.67

Шайба DIN127 М14_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная М14 Zn DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN127 М16 (кг)_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба М16 DIN127,0.8
Шайба DIN127 М16 (кг)_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная пружинная М16 DIN 127,0.8
Шайба DIN127 М16 (кг)_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 16 DIN 127B,0.8
Шайба DIN127 М16 (кг)_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная М16 Zn DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN127 М18,Шайба гроверная пружинная М18 DIN 127,0.8
Шайба DIN127 М18,Шайба гроверная пружинная М18 оцинкованная DIN 127,0.8

Шайба DIN127 М20,Шайба гроверная пружинная М20 DIN 127,0.8
Шайба DIN127 М20,Шайба гроверная М20 Zn DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN127 М24,Шайба гроверная пружинная М24 оцинкованная DIN 127,0.8
Шайба DIN127 М24,Шайба гроверная пружинная М24 цинк DIN 127 В_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба DIN127 М24,Шайба оцинкованная 24 DIN 127B,0.8
Шайба DIN127 М24,Шайба пружинная М24 Zn DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN127 М6_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная пружинная М6 DIN 127,0.8
Шайба DIN127 М6_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная пружинная М6 оцинкованная DIN 127,0.8
Шайба DIN127 М6_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба оцинкованная 6 DIN 127B,0.8
Шайба DIN127 М6_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба гроверная М6 Zn DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN127 М8 (шт),Шайба DIN127 М8_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба DIN127 М8 (шт),Шайба гроверная DIN127 ф8_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба DIN127 М8 (шт),Шайба гроверная пружинная М8 DIN 127,0.8
Шайба DIN127 М8 (шт),Шайба гроверная пружинная М8 оцинкованная DIN 127,0.8
Шайба DIN127 М8 (шт),Шайба оцинкованная 8 DIN 127B,0.8
Шайба DIN127 М8 (шт),Шайба гроверная М8 Zn DIN 127 / ГОСТ 6402-70,0.67
Шайба DIN127 М8 (шт),Шайба-пр М8 (гровер) Zn DIN 127_НЕ_ИСПОЛЬЗУЕТСЯ,0.67

Шайба DIN127 М8 A4,Шайба гроверная М8 А4 DIN 127 / ГОСТ 6402-70,0.67
Шайба DIN127 М8 A4,Шайба гроверная пружинная М8 А4 DIN 127 / ГОСТ 6402-70,0.67

Шайба DIN9021 М10,Шайба плоская М10 Zn DIN 9021 / ГОСТ 6958-78,0.67

Шайба DIN9021 М12,Шайба плоская М12 оцинкованная DIN 9021,0.8
Шайба DIN9021 М12,Шайба плоская увеличенная М12 DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба DIN9021 М12,Шайба плоская увеличенная М12 Zn DIN 9021,0.8

Шайба DIN9021 М4,Шайба плоская увеличенная М4 оцинкованная DIN 9021,0.8

Шайба DIN9021 М5,Шайба плоская увеличенная М5 оцинкованная DIN 9021 / ISO 7093 / ГОСТ 6958-78,0.57

Шайба DIN9021 М6,Шайба плоская увеличенная М6 оцинкованная DIN 9021,0.8

Шайба DIN9021 М8,Шайба DIN9021 М8 (шт),0.8
Шайба DIN9021 М8,Шайба плоская увеличенная М8 DIN 9021_НЕ_ИСПОЛЬЗУЕТСЯ,0.8
Шайба DIN9021 М8,Шайба плоская увеличенная М8 оцинкованная DIN 9021,0.8

Шайба А2 нерж 3 DIN 125А,Шайба нерж А2 3 DIN 125A,0.8

Шайба А2 нерж 3 DIN 127В,Шайба гроверная пружинная М3 нержавеющая А2 DIN 127,0.8

Шайба гроверная М12 А1 DIN 127,Шайба гроверная пружинная М12 нержавеющая А1 DIN 127,0.83

Шайба гроверная М3 А4 DIN 127 / ГОСТ 6402-70,Шайба гроверная пружинная М3 нержавеющая А4 DIN 127,0.67

Шайба гроверная М4 Zn DIN 127 / ГОСТ 6402-70,Шайба гроверная пружинная М4 DIN 127,0.67
Шайба гроверная М4 Zn DIN 127 / ГОСТ 6402-70,Шайба оцинкованная 4 DIN 127A,0.67

Шайба гроверная пружинная М3 DIN 127,Шайба гроверная пружинная М3 оцинкованная DIN 127,0.8
Шайба гроверная пружинная М3 DIN 127,Шайба оцинкованная М3 DIN 127A,0.8
Шайба гроверная пружинная М3 DIN 127,Шайба оцинкованная М3 DIN 127B,0.8

Шайба гроверная пружинная М4 нержавеющая А2 DIN 127,Шайба нерж А2 4 DIN 127B,0.8

Шайба гроверная пружинная М5 DIN 127,Шайба М5 DIN 127,0.8
Шайба гроверная пружинная М5 DIN 127,Шайба гроверная пружинная М5 оцинкованная DIN 127,0.8
Шайба гроверная пружинная М5 DIN 127,Шайба оцинкованная 5 DIN 127B,0.8
Шайба гроверная пружинная М5 DIN 127,Шайба оцинкованная М5 DIN 127A,0.8

Шайба М 16 А2 DIN 125А_НЕ_ИСПОЛЬЗУЕТСЯ,Шайба плоская М16 А2 нержавеющая DIN 125 A,0.8

Шайба оцинкованная 4 DIN 125A,Шайба плоская М4 DIN 125 A,0.8
Шайба оцинкованная 4 DIN 125A,Шайба плоская М4 тип А DIN 125,0.8
Шайба оцинкованная 4 DIN 125A,Шайба плоская М4 Zn DIN 125 A / ГОСТ 11371-78,0.67

Шайба оцинкованная М3 DIN 9021 (кузовная),Шайба плоская увеличенная М3 DIN 9021,0.8

"Шайба плоская М 3 (d 3,2) А2-Нерж. DIN 125A","Шайба плоская М3 (d 3,2) А2 нержавеющая DIN 125 A / ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ",0.71

"Шайба плоская М 4 (d 4,3) А2-Нерж. DIN 125A","Шайба плоская М4 (d 4,3) А2 нержавеющая DIN 125 A / ISO 7089_НЕ_ИСПОЛЬЗУЕТСЯ",0.71

"Шайба плоская М 5 (d 5,3) А2-Нерж. DIN 125A","Шайба плоская М5 (d 5,3) А2 нерж DIN 125 A ISO 7089 ГОСТ 11371-78",0.62

Шайба плоская М12 А2 DIN 125 / ISO 7089,Шайба плоская М12 А2 нержавеющая DIN 125,0.67
Шайба плоская М12 А2 DIN 125 / ISO 7089,Шайба плоская М12 А2 нержавеющая DIN 125 A,0.67

Шайба плоская М16 (d 17) Цинк DIN 125 / ISO 7089,Шайба плоская М16 (d 17) Цинк DIN 125 A_НЕ_ИСПОЛЬЗУЕТСЯ,0.71

Шайба плоская М3 А4 DIN 125 / ГОСТ 11371-78,Шайба плоская М3 А4 DIN 125A ГОСТ 11371-78,0.83

Шайба пружинная одовитковая изогнутая М5 А2 DIN 128 A,Шайба пружинная одовитковая изогнутая М5 А2 нерж DIN 128 А,0.8

