"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Болт М8х25 A2 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт'}}"
Болт М8х25 А4-80 DIN 933 / ISO 4017,"{'din': '933', 'gost': None, 'iso': '4017', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт'}}"
Болт М8х25 оцинкованный DIN 933 / ISO 4017 / ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': '4017', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт'}}"
Болт М8х35 А2 нерж DIN 933 ISO 4017 ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': '4017', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт'}}"
Болт М8х40 Zn DIN 933 ГОСТ 7798-70 ISO 4017,"{'din': '933', 'gost': '7798-70', 'iso': '4017', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт М8х40 А2 нерж. DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт М8х50 Zn DIN 933 / ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт М8х50 А2 нержавеющий DIN 933 / ISO 4017 / ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': '4017', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт М8х50 А4 нерж DIN 933 / ISO 4017 / ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': '4017', 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт М8х60 Zn DIN 933 ГОСТ ISO 4017 7798-70,"{'din': '933', 'gost': None, 'iso': '4017', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1, '7798': 1, '70': 1}), 'K': {'болт'}}"
Болт М8х60 А2 DIN 933 / ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'болт'}}"
Болт М8х70 А2 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '70': 1}), 'K': {'болт'}}"
Болт М8х80 А2 нерж. DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'болт'}}"
Болт М8х80 А4 нерж DIN 933 ГОСТ 7798-70,"{'din': '933', 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'болт'}}"
Болт мебельный с квадратным подголовком М8х40 цинк ISO 8677/DIN 603,"{'din': '603', 'gost': None, 'iso': '8677', 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт', 'подголовок'}}"
Болт нерж. 10_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'SS', 'fastener_class': None, 'T': Counter({'10': 1}), 'K': {'болт'}}"
"Болт ОМ603 М10-1,5_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'603': 1, '10': 1, '1,5': 1}), 'K': {'болт'}}"
Болт откидной DIN444 М10*100_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '444', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'болт'}}"
"Болт откидной М16х200 4,6 BM Zn DIN 444 ГОСТ 14724-69","{'din': '444', 'gost': '14724-69', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '4.6', 'T': Counter({'16': 1, '200': 1, 'bm': 1}), 'K': {'болт'}}"
Болт откидной М8х50 DIN 444,"{'din': '444', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт откидной с полной резьбой М12х120 Zn DIN 444 LB,"{'din': '444', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '120': 1, 'lb': 1}), 'K': {'болт', 'резьба'}}"
Болт откидной с полной резьбой М16х180 оцинкованный DIN 444 LB,"{'din': '444', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '180': 1, 'lb': 1}), 'K': {'болт', 'резьба'}}"
Болт оцинк. М 8*40 (3шт)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1, '3': 1}), 'K': {'болт'}}"
Болт оцинк. М10*40 (2шт)_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1, '2': 1}), 'K': {'болт'}}"
Болт оцинкованные М14х16 мм DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М10х100 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'болт'}}"
Болт оцинкованный М12х120 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '120': 1}), 'K': {'болт'}}"
Болт оцинкованный М12х70 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '70': 1}), 'K': {'болт'}}"
Болт оцинкованный М14х60 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1, '60': 1}), 'K': {'болт'}}"
Болт оцинкованный М16х100 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '100': 1}), 'K': {'болт'}}"
Болт оцинкованный М16х160 DIN 933_НЕ ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '160': 1}), 'K': {'болт'}}"
Болт оцинкованный М16х80 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '80': 1}), 'K': {'болт'}}"
Болт оцинкованный М24х120 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'24': 1, '120': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х12 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '12': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х16 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '20': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '25': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х30 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '30': 1}), 'K': {'болт'}}"
Болт оцинкованный М3х8 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х12 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '12': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х16 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '20': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '25': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х30 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х35 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '35': 1}), 'K': {'болт'}}"
Болт оцинкованный М4х8 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '8': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х12 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х16 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '20': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '25': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х35 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '35': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х40 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '40': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х50 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '50': 1}), 'K': {'болт'}}"
Болт оцинкованный М5х8 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '8': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х12 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '12': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х16 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х30 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х35 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '35': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х50 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'болт'}}"
Болт оцинкованный М6х8 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '8': 1}), 'K': {'болт'}}"
Болт оцинкованный М8x110,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '110': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х10 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '10': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х12 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '12': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х16 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х20 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х30 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х35 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х40 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт оцинкованный М8х80 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'болт'}}"
Болт переднего рычага_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter(), 'K': {'болт', 'рычаг'}}"
"Болт плотная резьба М 8х30, оцинкованный, DIN 933, класс пр._НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '30,': 1, ',': 1, '.': 1}), 'K': {'болт', 'резьба'}}"
Болт прижимной Datem Adjusting bolt part № 1127-01-28,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'datem': 1, 'adjusting': 1, 'bolt': 1, 'part': 1, '1127': 1, '01': 1, '28': 1}), 'K': {'болт'}}"
Болт резьба 10 мм длина 70 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'10': 1, '70': 1}), 'K': {'болт', 'резьба'}}"
Болт резьба 16 мм длина 105 мм,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'16': 1, '105': 1}), 'K': {'болт', 'резьба'}}"
"Болт с барашком, для крепления крыла к спинке (пара)_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({',': 1}), 'K': {'крыло', 'болт', 'спинка', 'крепление', 'барашек'}}"
Болт с внутренней шестигранной скрытой головкой М6х16 А2 нержавеющий DIN 7991,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт', 'головка'}}"
Болт с внутренним шестигранником и цилиндрической головкой М5х30 А4 DIN 912 ГОСТ 11738,"{'din': '912', 'gost': '11738', 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'5': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с внутренним шестигранником М10х100 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М10х70 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '70': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М12х120 А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '120': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М12х120 нержавеющий А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '120': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М12х50 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М3х20 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '20': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М4х10 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '10': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М4х10 нержавеющий А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '10': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М4х20 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '20': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М4х30 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М5х50 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '50': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М6х16 А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М6х16 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М6х16 нержавеющий А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М6х40 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М8х100 нержавеющий А2 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'8': 1, '100': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с внутренним шестигранником М8х80 нержавеющий А4 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'болт', 'шестигранник'}}"
Болт с низкой конической головкой М5х12 А2 нержавеющий,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'болт', 'головка'}}"
Болт с полной резьбой М10х50 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М12х35 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '35': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М12х50 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М14х70 DIN 933_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'14': 1, '70': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М4х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '25': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М5х25 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '25': 1}), 'K': {'болт', 'резьба'}}"
Болт с полной резьбой М8х35 оцинкованный DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт', 'резьба'}}"
Болт с полукруглой низкой головкой и квадратным подголовком М6х70 DIN 603,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '70': 1}), 'K': {'болт', 'головка', 'подголовок'}}"
Болт с полукруглой низкой головкой и квадратным подголовком М8х60 DIN 603,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'болт', 'головка', 'подголовок'}}"
Болт с полукруглой низкой головкой и квадратным подголовком М8х80 DIN 603,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '80': 1}), 'K': {'болт', 'головка', 'подголовок'}}"
Болт с потайн. гол. внутр.ш.г. М10x80 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'.': 5, '10': 1, '80': 1}), 'K': {'потайна', 'болт', 'внутро', 'гол'}}"
Болт с потайной головкой и внутренним шестигранником М 4x50 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М10x110 нерж.А2,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '110': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М10x50 А4 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М10x50 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М10x70 нерж.А2,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'10': 1, '70': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М12x100 А4 DIN 933,"{'din': '933', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М12x100 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
Болт с потайной головкой и внутренним шестигранником М4x30 нерж.А4,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'болт', 'головка', 'шестигранник'}}"
